,start_time,finish_time,s,emotion_level,subject
557,00:14:34.020,00:14:34.480,x,,
558,00:14:34.480,00:14:35.100,s,,
559,00:14:35.100,00:14:35.340,x,,
560,00:14:35.340,00:14:36.080,s,,
561,00:14:36.080,00:14:38.360,x,,
562,00:14:38.360,00:14:42.620,s,,
563,00:14:42.620,00:14:47.200,x,,
564,00:14:47.200,00:14:48.200,s,,
565,00:14:48.200,00:14:48.820,x,,
566,00:14:48.820,00:14:49.420,s,,
567,00:14:49.420,00:14:50.420,x,,
568,00:14:50.420,00:14:51.040,s,,
569,00:14:51.040,00:14:53.020,x,3.0,A
570,00:14:53.020,00:14:53.460,s,3.0,A
571,00:14:53.460,00:14:54.520,x,3.0,A
572,00:14:54.520,00:14:55.240,s,,
573,00:14:55.240,00:14:55.520,x,,
574,00:14:55.520,00:14:56.000,s,,
575,00:14:56.000,00:14:57.820,x,,
576,00:14:57.820,00:14:58.220,s,,
577,00:14:58.220,00:15:00.200,x,,
578,00:15:00.200,00:15:01.560,s,,
579,00:15:01.560,00:15:01.820,x,,
580,00:15:01.820,00:15:06.380,s,,
581,00:15:06.380,00:15:07.340,x,0.0,A
582,00:15:07.340,00:15:10.260,s,0.0,A
583,00:15:10.260,00:15:10.480,x,,
584,00:15:10.480,00:15:16.800,s,,
585,00:15:16.800,00:15:18.360,x,,
586,00:15:18.360,00:15:20.580,s,,
587,00:15:20.580,00:15:20.780,x,,
588,00:15:20.780,00:15:26.520,s,,
589,00:15:26.520,00:15:27.980,x,,
590,00:15:27.980,00:15:28.600,s,,
591,00:15:28.600,00:15:28.820,x,,
592,00:15:28.820,00:15:32.200,s,,
593,00:15:32.200,00:15:34.420,x,2.0,B
594,00:15:34.420,00:15:34.800,s,,
595,00:15:34.800,00:15:35.380,x,,
596,00:15:35.380,00:15:36.100,s,,
597,00:15:36.100,00:15:37.780,x,,
598,00:15:37.780,00:15:39.300,s,,
599,00:15:39.300,00:15:48.440,x,,
600,00:15:48.440,00:15:49.020,s,,
601,00:15:49.020,00:15:49.960,x,,
602,00:15:49.960,00:15:50.800,s,,
603,00:15:50.800,00:15:54.960,x,1.0,B
604,00:15:54.960,00:15:55.980,s,,
605,00:15:55.980,00:15:56.120,x,,
606,00:15:56.120,00:15:58.640,s,,
607,00:15:58.640,00:15:59.720,x,,
608,00:15:59.720,00:16:00.240,s,,
609,00:16:00.240,00:16:01.880,x,,
610,00:16:01.880,00:16:02.920,s,,
611,00:16:02.920,00:16:03.560,x,,
612,00:16:03.560,00:16:04.920,s,,
613,00:16:04.920,00:16:06.880,x,,
614,00:16:06.880,00:16:07.300,s,2.0,A
615,00:16:07.300,00:16:10.960,x,2.0,A
616,00:16:10.960,00:16:12.540,s,,
